x	AcX	AcY	AcZ
108.00	8908	18336	13716
109.00	-32768	-23008	-7940
110.00	-17652	20236	17012
111.00	6368	1076	940
112.00	-32768	-24044	1388
113.00	5932	21380	16440
114.00	-28308	-23672	-9136
115.00	-32768	9868	13496
116.00	11972	18020	4900
117.00	-32768	-21092	-5068
118.00	604	19404	18308
119.00	-7304	-2676	-4372
120.00	-32768	-22740	4564
121.00	14896	20884	17728
122.00	-24	10924	-324
123.00	-32768	-19896	-5240
124.00	12924	23684	18104
125.00	-16936	-27040	-9888
126.00	-32768	3664	13164
127.00	4384	22700	5192
128.00	-27996	-20232	-8184
129.00	-11480	19736	17996
130.00	-2312	440	-912
131.00	-32768	-23864	1088
132.00	6088	19032	18960
133.00	-18040	-21200	-9444
134.00	-27728	9116	13828
135.00	3380	16164	3552
136.00	-32768	-25064	-4768
137.00	1436	20204	21928
138.00	-4936	-20076	-5868
139.00	-32768	-8556	8588
140.00	6332	20280	12280
141.00	-32768	-26444	-2196
142.00	2276	23272	18788
143.00	-248	-3700	-4384
144.00	-32768	-17808	3828
145.00	7160	19864	17140
146.00	-32768	-23520	-7412
147.00	-24812	15728	17992
148.00	10664	10616	2088
149.00	-32768	-25492	-2012
150.00	3888	20224	19444
151.00	-11276	-16476	-6464
152.00	-32768	2356	14252
153.00	14904	19744	9176
154.00	-32768	-21564	-11480
155.00	-5324	18700	19036
156.00	-11172	-10212	-2828
157.00	-32768	-18612	6648
158.00	14892	23048	16220
159.00	-27028	-24196	-9236
160.00	8056	20464	17860
161.00	-15916	-20688	-7164
162.00	-32768	-6216	9916
163.00	7388	23024	12204
164.00	-18096	-20168	-9744
165.00	-31856	8252	14524
166.00	1536	19428	6064
167.00	-32768	-22248	-5096
168.00	7852	23676	18452
169.00	-6836	-19840	-6228
170.00	-32768	-11408	9488
171.00	6296	21624	15124
172.00	-25040	-25432	-7984
173.00	-20780	14176	17648
174.00	4712	10152	3820
175.00	-32768	-24840	-3896
0.00	-32768	-9832	7468
1.00	9272	21452	18444
2.00	-11248	-24464	-6836
3.00	-32768	-15672	5420
4.00	-948	-1540	-1824
5.00	-32768	-24616	444
6.00	5512	21700	15024
7.00	-9008	-21708	-7024
8.00	-32768	-4340	9304
9.00	2056	20784	16976
10.00	-26544	-17720	-9952
11.00	-23304	9968	15196
12.00	9532	15332	464
13.00	-32768	-19636	-7000
14.00	-8396	20596	16732
15.00	-1688	-6656	-2508
16.00	-32768	-18476	4100
17.00	7836	22364	15696
18.00	-32768	-25736	-8880
19.00	-25456	15972	16264
20.00	10132	10504	3512
21.00	-32768	-24692	-1912
22.00	3964	19332	17624
23.00	-23148	-20184	-9004
24.00	-32768	3492	11288
25.00	-15848	-12676	-4348
26.00	-32768	-12724	8472
27.00	14904	20712	14984
28.00	-28848	-20596	-9072
29.00	-18224	16672	19052
30.00	7676	18068	9192
31.00	-32768	-20836	-6100
32.00	3584	21052	17832
33.00	-3348	2968	-2304
34.00	-32768	-22388	-884
35.00	10200	20428	17784
36.00	-16460	-24012	-8736
37.00	-31116	8272	14136
38.00	1032	17176	5744
39.00	-32768	-23672	-5424
40.00	6048	19272	19900
41.00	144	-8644	-3832
42.00	-32768	-22376	2452
43.00	3684	24544	11948
44.00	-27476	-20592	-8940
45.00	3804	21272	15076
46.00	-16516	-21692	-7584
47.00	-32768	-13728	6284
48.00	5032	23664	12248
49.00	-32768	-20052	-9736
50.00	-16304	16692	20900
51.00	11172	19004	4796
52.00	-32768	-24928	-6324
53.00	-6620	22368	20400
54.00	-8156	-14776	-3668
55.00	-32768	-11520	6880
56.00	6604	20752	16172
57.00	-28268	-24908	-8700
58.00	-32768	9692	14148
59.00	12092	16828	5748
60.00	-32768	-23164	-4628
61.00	1372	18464	18172
62.00	-17340	-17188	-6340
63.00	-32768	-7252	7696
64.00	13848	23072	11704
65.00	-32768	-24336	-1672
66.00	11324	20344	17948
67.00	-19252	-24012	-10456
68.00	-32768	3516	13068
69.00	5052	20680	5308
70.00	-32768	-22048	-5792
71.00	4240	21380	19748
72.00	-16120	16292	17168
73.00	-496	7048	-236
74.00	-32768	-23120	-6272
75.00	7428	20376	18476
76.00	-6444	-14252	-6060
77.00	-32768	-9508	7652
78.00	5256	20716	13916
79.00	-32768	-19740	-9316
80.00	-7880	21392	18096
81.00	4284	-2916	-964
82.00	-32768	-26184	-4572
83.00	3096	21680	17040
84.00	-13688	-22796	-6660
85.00	-5276	22040	18556
86.00	-2196	-13352	-3680
87.00	-32768	-16852	5544
88.00	5884	21104	14492
89.00	-25532	-24900	-8696
90.00	-30480	6528	15812
91.00	13996	19464	7080
92.00	-32768	-24956	-7300
93.00	-23876	17692	17680
94.00	3284	6640	2088
95.00	-32768	-24892	88
96.00	356	20960	19792
97.00	-14628	-21248	-4524
98.00	-32768	-8908	9852
99.00	14028	23928	11964
100.00	-29936	-19016	-9896
101.00	-15480	16260	19104
102.00	-5008	1680	-1328
103.00	-32768	-23004	3028
104.00	12968	21564	17388
105.00	-32768	-24472	-2544
106.00	10456	20496	18428
107.00	-13388	-20700	-10132
108.00	-32768	-4376	10000
109.00	5332	23636	6948
110.00	-23884	-18568	-9472
111.00	-1244	22660	19736
112.00	-1084	8156	1124
113.00	-32768	-26620	-716
114.00	-660	19808	18468
115.00	3384	5000	-380
116.00	-32768	-25076	-2108
117.00	3836	18696	15572
118.00	-18584	-18316	-8448
119.00	-28428	4256	13572
120.00	6792	16424	5572
121.00	-32768	-25904	-6236
122.00	-4304	21940	17576
123.00	-5404	-14544	-4068
124.00	-32768	-12860	7152
125.00	10808	14284	2688
126.00	-32768	-26808	-5164
127.00	964	22992	18252
128.00	-17624	-20968	-9124
129.00	-32768	-2448	12256
130.00	15224	20060	11776
131.00	-32768	-19732	-9596
132.00	-10840	19216	18032
133.00	-6124	-3132	-5596
134.00	-32768	-18752	3180
135.00	4256	18612	17952
136.00	-17204	-19628	-6620
137.00	-32768	-5752	8784
138.00	11292	20448	13380
139.00	-29996	-17612	-7844
140.00	-10340	17824	17108
141.00	-6264	-4076	-2336
142.00	-32768	-23008	72
143.00	11132	21828	18112
144.00	-32768	-20532	-5880
145.00	5164	22216	18716
146.00	-6288	-14544	-6396
147.00	-32768	-14108	4972
148.00	7512	23748	11984
149.00	-27952	-22792	-8248
150.00	-12884	18488	18884
151.00	1472	3756	204
152.00	-32768	-24812	-4424
153.00	856	18552	21532
154.00	-6184	-15888	-5976
155.00	-32768	-8428	8276
156.00	3840	24292	18084
157.00	-9904	-15908	-5760
158.00	-32768	-6924	9084
159.00	7752	20916	10488
160.00	-32768	-24752	-8080
161.00	-14324	20484	17388
162.00	1892	-3244	-940
163.00	-32768	-20584	2064
164.00	12916	19572	6896
165.00	-32768	-25616	-7664
166.00	-6408	21624	18936
167.00	-10360	-12760	-6596
168.00	-32768	-13776	6664
169.00	14236	21236	13900
170.00	-32768	-19024	-11508
171.00	-23404	16192	17576
172.00	212	7440	-3432
173.00	-32768	-24744	-1588
174.00	13432	22832	17932
175.00	-21232	-28480	-9168
176.00	-32768	6508	14844
177.00	12512	23476	16336
178.00	-18696	-21860	-10844
179.00	-32768	6828	14340
180.00	2648	18236	6832
181.00	-32768	-21868	-4524
182.00	8016	23168	19128
183.00	-32768	-18032	-7932
184.00	-5216	20156	18772
185.00	-1220	-5644	-2508
186.00	-32768	-25220	-3648
187.00	3568	20088	20344
188.00	-10092	-21484	-7552
189.00	-32768	-3080	10156
190.00	4796	22436	8696
191.00	-32768	-24124	-7616
192.00	-6864	18932	21472
193.00	1328	-8752	-3476
194.00	-32768	-17152	2900
195.00	5176	20616	15476
196.00	-23440	-19480	-9368
197.00	-28112	6012	13720
198.00	8240	20576	15900
199.00	-32768	-26388	-8120
200.00	-23828	15064	16976
201.00	9056	8408	2776
202.00	-32768	-25508	-7168
203.00	-29144	12388	14148
204.00	7012	11352	2044
205.00	-32768	-25212	-3284
206.00	6344	20776	17596
207.00	-19608	-24736	-7480
208.00	-32768	-1488	10624
209.00	12016	22712	9232
210.00	-32020	-20724	-7676
211.00	-5072	18176	18000
212.00	-392	7548	1008
213.00	-32768	-24376	428
214.00	11824	21328	17396
215.00	-19868	-19680	-10892
216.00	-32768	3836	13188
217.00	2936	20388	4836
218.00	-32768	-24300	-5220
219.00	6820	22844	20096
220.00	2768	20108	9224
221.00	-32768	-22592	-6592
222.00	4592	24772	11972
223.00	-32768	-21216	-8080
224.00	-5952	19564	19060
225.00	2172	-1172	-4416
226.00	-32768	-25008	-3588
227.00	2424	18548	16808
228.00	-14344	-15888	-7896
229.00	-31700	-1132	11548
230.00	7604	17188	10916
231.00	-32768	-22804	-6648
232.00	-7100	21240	19048
233.00	976	-11692	-2048
234.00	-32768	-18352	4576
235.00	6444	23136	15400
236.00	-23592	-24144	-9024
237.00	-31956	5180	15456
238.00	14052	19536	8424
239.00	-32768	-24732	-7884
240.00	-4832	18556	18832
241.00	-26480	-20332	-9692
242.00	-32768	6552	12300
243.00	9156	19132	5240
244.00	-32292	-19428	-9072
245.00	-13292	18400	18980
246.00	-4320	-4560	-676
247.00	-32768	-23272	3704
248.00	13376	25888	16092
249.00	-22472	-24980	-10416
250.00	-30864	11112	16284
251.00	2864	16224	3564
252.00	-32768	-24688	-2548
253.00	9884	19152	19064
254.00	-13364	-17708	-9388
255.00	-32768	-4824	9304
256.00	6636	19488	17844
257.00	-24920	-17968	-9548
258.00	-18672	15448	16392
259.00	184	7208	1160
260.00	-32768	-26944	-1644
261.00	6064	23588	15780
262.00	-17936	-23672	-8000
263.00	-26972	7824	14832
264.00	6544	17060	7544
265.00	-32768	-23924	-6068
266.00	-1936	18072	18220
267.00	-8024	-10696	-5232
268.00	-32768	-9116	7712
269.00	7352	18516	14896
270.00	-30948	-18828	-10668
271.00	-17304	19444	18576
272.00	6144	380	600
273.00	-32768	-25840	-5612
274.00	1008	22408	18604
275.00	-17328	-21356	-8216
276.00	-32768	-4264	12008
277.00	15356	21564	11248
278.00	-32768	-21312	-9676
279.00	-11548	18472	18136
280.00	-31784	-21796	-11648
281.00	-26676	14788	17848
282.00	14528	21956	16540
283.00	-27504	-21384	-9796
284.00	-24612	16384	18064
285.00	-476	7500	1416
286.00	-32768	-26104	56
287.00	12844	22748	18152
288.00	-16632	-23368	-10744
289.00	-32768	3780	12600
290.00	5900	20808	6544
291.00	-28600	-19616	-9520
292.00	-10584	16212	18496
293.00	-3064	800	-1132
294.00	-32768	-24476	704
295.00	5768	18212	19688
296.00	-17364	-22472	-9252
297.00	-27188	7084	14404
298.00	3060	16848	4700
299.00	-32768	-20496	-8652
300.00	4072	22280	17596
301.00	-30752	-21196	-8632
302.00	-16548	17408	17552
303.00	8456	18176	12404
304.00	-32768	-19920	-7228
305.00	-9772	18604	18404
306.00	248	-4020	-3172
307.00	-32768	-24852	-3468
308.00	1580	19704	16888
309.00	-22444	-18808	-10420
310.00	-32768	528	13584
311.00	13616	20692	6980
312.00	-32768	-26112	-7712
313.00	-5008	21136	18868
314.00	1972	-496	2360
315.00	-32768	-23912	1420
316.00	9996	22988	15048
317.00	-25572	-25040	-8912
318.00	-32768	10248	14832
319.00	-17944	-20564	-7540
320.00	-32768	-1516	9292
321.00	12692	24872	13840
322.00	-25904	-22840	-10744
323.00	-25744	12416	18708
324.00	8092	21080	10472
325.00	-30792	-21872	-6936
326.00	-984	20172	19252
327.00	-5656	-11148	-2236
328.00	-32768	-20472	4708
329.00	9204	23268	18232
330.00	-12432	-23596	-7228
331.00	-32768	3552	12348
332.00	3736	19708	9616
333.00	-32768	-20208	-7744
334.00	1660	19944	18900
335.00	-2364	-11116	-4560
336.00	-32768	-23480	468
337.00	5144	22720	16396
338.00	-23084	-21896	-8124
339.00	1320	18720	15700
340.00	-13552	-16980	-6948
341.00	-31592	-3716	10160
342.00	8660	19200	9488
343.00	-32768	-21548	-9216
344.00	-21592	13864	19904
345.00	13104	20368	9348
346.00	-32768	-21960	-8068
347.00	-11468	19952	19852
348.00	-5192	-3912	-3684
349.00	-32768	-17172	4236
350.00	13188	21552	15092
351.00	-30864	-26612	-7636
352.00	-28108	16192	17904
353.00	5860	9536	4984
354.00	-32768	-23400	-6576
355.00	-1796	19508	19740
356.00	-12860	-16068	-4124
357.00	-32768	-12580	6680
358.00	-3496	-2256	1912
359.00	-32768	-25340	-4132
360.00	10344	23872	19404
361.00	-15928	-24208	-7228
362.00	-32768	-2388	11512
363.00	7764	21672	10304
364.00	-32768	-18464	-8344
365.00	-2204	19232	19080
366.00	2152	16460	4632
367.00	-32768	-21392	-6488
368.00	-304	22260	19540
369.00	-1480	-11556	-3584
370.00	-32768	-21592	3908
371.00	4252	24384	13540
372.00	-29648	-21964	-8684
373.00	-19676	13788	17560
374.00	6052	9252	-672
375.00	-32768	-22040	-5268
376.00	-4168	17924	19544
377.00	-32768	-19480	-9548
378.00	-15800	16412	20972
379.00	6760	2676	-1216
380.00	-32768	-22372	-768
381.00	5060	22116	17408
382.00	-16844	-14536	-8252
383.00	-32768	-2316	10084
384.00	14452	18060	9636
385.00	-32768	-24208	-8056
386.00	-11820	22232	19676
387.00	10824	14508	4884
388.00	-32768	-20628	-9592
389.00	-10036	17720	18576
390.00	-8176	-2616	-4984
391.00	-32768	-19860	4968
392.00	14312	21812	16528
393.00	-25752	-24992	-10732
394.00	-28732	12636	16964
395.00	1552	11964	708
396.00	-32768	-26408	-1976
397.00	-32304	10264	16152
398.00	1732	15032	3108
399.00	-32768	-24392	-2636
400.00	10364	21372	18648
401.00	-12160	-21976	-8928
402.00	-32768	-6812	8900
403.00	5552	23388	8384
404.00	-22332	-22376	-8848
405.00	-19024	14224	17084
406.00	1332	8692	3308
407.00	-32768	-26208	-1492
408.00	4264	18976	20052
409.00	2028	-5020	-3084
410.00	-32768	-24088	-3200
411.00	3724	21768	16124
412.00	-16192	-20072	-7712
413.00	-29388	3104	12624
414.00	8656	20072	5932
415.00	-32768	-25308	-8160
416.00	3592	22280	15532
417.00	-27688	-23488	-10124
418.00	-27288	9352	17104
419.00	12192	14488	4612
420.00	-32768	-26476	-5772
421.00	-436	21016	18688
422.00	-17232	-18096	-7712
423.00	-32768	-5676	10440
424.00	15632	19120	13624
425.00	-32768	-19452	-9416
426.00	-15124	17880	18620
427.00	-4132	-1104	-4668
428.00	-32768	-22372	-2412
429.00	8164	20680	16672
430.00	-6608	-3608	-1096
431.00	-32768	-22192	4092
432.00	12300	24384	15592
433.00	-23052	-21780	-10416
434.00	-30152	11320	16412
435.00	-16916	-21756	-9980
436.00	-32768	-948	11296
437.00	7468	20608	15800
438.00	-27960	-17296	-9660
439.00	-15660	14780	17024
440.00	-1024	6896	-936
441.00	-32768	-24504	-1016
442.00	5804	20564	20664
443.00	-14800	-24540	-7784
444.00	-30384	4572	12592
445.00	5744	20624	6844
446.00	-32768	-21644	-8864
447.00	-7724	20436	18720
448.00	5116	-672	-1268
449.00	-32768	-24592	1184
450.00	1920	23024	17352
451.00	5612	716	-2272
452.00	-32768	-22244	84
453.00	3896	21912	15392
454.00	-29140	-25940	-8952
455.00	-6880	20740	18688
456.00	-7476	-7012	-3564
457.00	-32768	-14316	5752
458.00	11492	19396	13364
459.00	-32768	-23904	-8276
460.00	-23336	18056	18044
461.00	4768	5900	3284
462.00	-32768	-25060	-272
463.00	7492	21116	16088
464.00	-23740	-23872	-9224
465.00	-32768	6172	12432
466.00	9508	17836	8824
467.00	-32768	-21896	-5860
468.00	716	20856	16800
469.00	-11836	-15868	-5200
470.00	-32768	-13808	4596
471.00	10956	22488	15464
472.00	-16420	-20492	-11260
473.00	-32768	-1460	11856
474.00	-9520	-13124	-7432
475.00	-32768	-12008	5792
476.00	7484	21052	12916
477.00	-19808	-19308	-9472
478.00	-11500	20096	18284
479.00	504	1488	252
480.00	-32768	-24648	-4852
481.00	2808	21808	21704
482.00	-6116	-20472	-5828
483.00	-32768	-7596	8852
484.00	5564	22700	10924
485.00	-32768	-18788	-9704
486.00	-9836	18396	19808
487.00	5568	-364	-2692
488.00	-32768	-21124	456
489.00	4872	20896	16900
490.00	-28600	-22256	-10108
491.00	-25404	10124	17220
492.00	12572	13324	4604
493.00	-32768	-20444	-9912
494.00	6576	21220	14792
495.00	-31340	-20628	-10900
496.00	-30540	10932	13828
497.00	8916	17040	3176
498.00	-32768	-24012	-4216
499.00	4192	21396	18732
500.00	-17864	-23096	-6892
501.00	-32768	-3972	9980
502.00	13300	23944	9900
503.00	-26864	-25580	-10004
504.00	-8868	18640	18704
505.00	-6572	-2388	-2680
506.00	-32768	-24884	-1652
507.00	13368	22128	16980
508.00	-21412	-21132	-9232
509.00	-27664	11852	16600
510.00	188	15460	4464
511.00	-32768	-21264	-6260
512.00	10124	21780	18852
513.00	-17016	17868	17740
514.00	1516	7640	2640
515.00	-32768	-24656	-1588
516.00	3492	17884	19472
517.00	-15336	-17152	-9044
518.00	-31404	2708	12244
519.00	4704	19184	7452
520.00	-32768	-24036	-5260
521.00	-4024	20596	22132
522.00	-296	-14040	-3296
523.00	-32768	-15908	5680
524.00	5372	23248	13944
525.00	-32768	-20284	-9120
526.00	-20076	15200	20072
527.00	9564	6824	-596
528.00	-32768	-25392	-6004
529.00	-2752	18480	18484
530.00	-14340	-13196	-7612
531.00	-32768	-8924	8044
532.00	14324	19232	12464
533.00	-32768	-18096	3648
534.00	1532	19444	19636
535.00	-16668	-19196	-6156
536.00	-32768	-5808	11084
537.00	15092	22276	11900
538.00	-31500	-17476	-8872
539.00	-12640	17868	18860
540.00	-5916	-1228	-276
541.00	-32768	-23160	3032
542.00	13808	24264	16760
543.00	-19984	-26756	-8948
544.00	-29736	10868	17416
545.00	1832	15724	5920
546.00	-32768	-24728	-2368
547.00	8828	19612	19600
548.00	-11036	-17888	-8964
549.00	-32768	-5644	9864
550.00	5472	20404	11480
551.00	-32768	-19520	-6680
552.00	5852	20412	13932
553.00	-28472	-19736	-9312
554.00	-17228	15480	17872
555.00	6180	21328	10808
556.00	-30560	-22856	-9840
557.00	-6708	19120	20688
558.00	9088	8176	1412
559.00	-32768	-25544	-2240
560.00	488	19960	18952
561.00	-20860	-16564	-9332
562.00	-28964	3396	12800
563.00	11456	19520	5112
564.00	-32768	-25484	-6600
565.00	-7152	22740	20548
566.00	-6444	-12760	-3860
567.00	-32768	-14336	6320
568.00	11868	22188	11812
569.00	-32768	-20244	-10576
570.00	-23636	16764	18288
571.00	-27744	-23896	-10480
572.00	-32768	8600	13580
573.00	10376	16408	7048
574.00	-32768	-22792	-5284
575.00	3448	19792	16484
576.00	-1916	4664	760
577.00	-32768	-24852	-4244
578.00	8068	20128	19136
579.00	-13720	-20632	-6716
580.00	-32768	-6184	10196
581.00	9588	20324	13380
582.00	-31176	-16616	-8620
583.00	-5816	19900	17768
584.00	-3424	-3536	-1072
585.00	-32768	-23236	2012
586.00	6888	22272	17896
587.00	-18624	-24224	-8484
588.00	-24348	11932	16044
589.00	2880	14616	4704
590.00	-32768	-24472	-3416
591.00	5380	20336	9312
592.00	-32768	-21532	-7720
593.00	-5020	17336	20788
594.00	176	-7376	-3924
595.00	-32768	-24960	-772
596.00	1704	21020	17628
597.00	-1012	-12812	-2768
598.00	-32768	-16208	5512
599.00	5396	22640	14748
600.00	-32768	-22116	-9808
601.00	-22892	15524	17344
602.00	8716	10016	228
603.00	-32768	-23356	-1524
604.00	4268	19896	18412
605.00	-24376	-21776	-8712
606.00	-32768	4400	13608
607.00	12408	22408	5164
608.00	-32768	-23048	-6984
609.00	-2368	19264	20012
610.00	-27528	-25228	-10076
611.00	-16428	18120	18940
612.00	-3808	-600	-928
613.00	-32768	-26704	-3432
614.00	10388	18972	18308
615.00	-16432	-22088	-7600
616.00	-32768	-3048	11480
617.00	9336	19212	11996
618.00	-17648	-25688	-8364
619.00	-29680	9840	15576
620.00	408	16468	6008
621.00	-32768	-23820	-5596
622.00	8424	19028	18192
623.00	-8300	-15896	-7024
624.00	-32768	-6640	9352
625.00	5312	22976	12792
626.00	-28028	-18620	-9472
627.00	-17200	16544	16952
628.00	5472	9472	-796
629.00	-32768	-24332	-3552
630.00	7388	15668	7724
631.00	-32768	-23992	-5668
632.00	-2252	21732	18064
633.00	-3424	-17156	-4232
634.00	-32768	-13392	7416
635.00	6516	21172	13372
636.00	-27240	-25608	-8964
637.00	-28104	9680	17252
638.00	11756	16032	5264
639.00	-32768	-19368	-9864
640.00	-19244	18792	18324
641.00	2524	1436	1604
642.00	-32768	-22892	1280
643.00	8816	22764	15112
644.00	-25372	-27240	-8720
645.00	-32768	10488	14524
646.00	8008	18848	7952
647.00	-32768	-22688	-4864
648.00	3280	19196	16672
649.00	-27044	-24784	-10356
650.00	-26400	13580	18392
651.00	-736	9536	1452
652.00	-32768	-25624	-852
653.00	10692	20896	17328
654.00	-16244	-22176	-10932
655.00	-32768	4	12104
656.00	4812	21328	5272
657.00	-32768	-22640	-5024
658.00	5204	21996	19848
659.00	-1196	-212	804
660.00	-32768	-20020	-7248
661.00	2892	20168	18696
662.00	-2916	-10812	-4720
663.00	-32768	-15196	5864
664.00	3704	22636	15436
665.00	-32768	-20904	-9620
666.00	-12256	19452	18212
667.00	9332	3160	1160
668.00	-32768	-27352	-5468
669.00	8264	18648	9456
670.00	-32768	-23592	-6828
671.00	-7740	21412	18248
672.00	1288	-8084	-2792
673.00	-32768	-18744	4484
674.00	6116	20584	14724
675.00	-23352	-23788	-8388
676.00	-25768	13876	16336
677.00	9380	12196	200
678.00	-32768	-23000	-7248
679.00	-4484	20160	18540
680.00	-13024	-10616	-5832
681.00	-32768	-25208	-964
682.00	9520	20980	16116
683.00	-21464	-22184	-8752
684.00	-32768	5292	13004
685.00	8636	18696	9992
686.00	-32768	-19272	-5928
687.00	1224	20616	16740
688.00	-21552	-23408	-10888
689.00	-31296	11996	16376
690.00	984	17076	4604
691.00	-32768	-24508	-2252
692.00	10520	21972	18644
693.00	-11224	-21460	-9496
694.00	-32768	-5336	10384
695.00	4204	24720	8708
696.00	-32768	-20028	-6596
697.00	-1268	21004	19760
698.00	248	-6152	-5960
699.00	-32768	-20080	3260
700.00	5228	22296	14756
701.00	-14536	-18252	-8696
702.00	-32768	-21096	2604
703.00	3756	22860	17324
704.00	-30948	-24332	-9500
705.00	-20264	14284	17704
706.00	10380	9296	3744
707.00	-32768	-25392	-2848
708.00	12308	18088	6140
709.00	-32768	-24932	-6208
710.00	-5172	19168	19544
711.00	-9864	-10120	-5148
712.00	-32768	-11240	6932
713.00	13032	19304	13068
714.00	-32768	-23656	-8456
715.00	-21020	18076	19568
716.00	2808	2460	2708
717.00	-32768	-24356	-4452
718.00	2584	21552	18760
719.00	-16768	-21112	-6472
720.00	-32768	-5628	10084
721.00	13444	24020	10556
722.00	-31352	-17396	-8756
723.00	-32768	9516	14860
724.00	4404	18308	2684
725.00	-32768	-26120	-4788
726.00	8788	20540	19760
727.00	-22512	-21308	-8680
728.00	-2132	19504	19020
729.00	-152	8968	2200
730.00	-32768	-25740	-3208
731.00	8400	20744	18820
732.00	-12412	-22376	-7800
733.00	-32768	3028	11760
734.00	3644	20348	9644
735.00	-32768	-19896	-7256
736.00	1360	21888	18548
737.00	-824	-11668	-4252
738.00	-32768	-25020	-320
739.00	4224	22232	16976
740.00	-22156	-23040	-7636
741.00	-23912	9728	15844
742.00	8440	16700	2408
743.00	-32768	-28056	-5764
744.00	-20076	14156	20128
745.00	7848	4708	-568
746.00	-32768	-24004	-1012
747.00	13416	20888	9856
748.00	-32768	-19892	-7556
749.00	-12160	19716	19712
750.00	-4300	-3980	-2600
751.00	-32768	-19352	3896
752.00	13072	22956	15076
753.00	-30008	-26936	-8144
754.00	-29044	15668	18096
755.00	5480	10728	4956
756.00	-32768	-25376	-1988
757.00	8724	19932	16836
758.00	-19124	-20372	-8624
759.00	-32768	2992	11964
760.00	8928	17748	11020
761.00	-32536	-18620	-7104
762.00	-768	20912	17092
763.00	-8072	-12636	-3824
764.00	-32768	-18140	4412
765.00	3072	19176	18856
766.00	-27820	-20436	-9712
767.00	-11948	18400	18340
768.00	64	3044	216
769.00	-32768	-25980	-5728
770.00	5628	19876	19256
771.00	-6988	-16540	-6280
772.00	-32768	-5016	8280
773.00	5896	18888	12376
774.00	-32768	-17404	-9860
775.00	-7392	19788	18456
776.00	5128	-5296	-1160
777.00	-32768	-25936	-3348
778.00	2620	20768	18384
779.00	-17192	-23436	-6756
780.00	-30480	1616	12812
781.00	10404	19740	6612
782.00	-32768	-24124	-7624
783.00	-7084	18700	18224
784.00	-5320	-7092	-3756
785.00	-19920	17916	16828
786.00	13800	18924	13580
787.00	-32768	-19520	-9368
788.00	-21124	17424	18972
