x	AcX	AcY	AcZ
41.00	-29528	-14288	-10408
42.00	-280	30476	20132
43.00	-708	2420	-104
44.00	-32768	-13408	-9404
45.00	7228	31064	16164
46.00	-26164	-32768	-860
47.00	-32768	276	8504
48.00	-2700	18820	11720
49.00	-32768	-16480	-11524
50.00	-7948	22976	5640
51.00	-21200	-15812	-13160
52.00	-21812	14584	18312
53.00	-10288	19764	5424
54.00	-32768	-7124	1284
55.00	2716	12124	19168
56.00	-10424	-24348	-6944
57.00	-32768	32767	14700
58.00	-3792	1536	-2536
59.00	-32768	-20684	8352
60.00	-8008	14924	23900
61.00	-688	-31048	-2444
62.00	-3964	27100	12268
63.00	24624	18000	1220
64.00	-32736	-23076	-22688
65.00	-25676	20696	3868
66.00	-16704	-21676	-11804
67.00	-32768	7708	14140
68.00	9444	9952	32767
69.00	-32768	-15788	-16224
70.00	20336	19412	21316
71.00	-6656	-12904	-8548
72.00	-19492	12356	6272
73.00	-8864	22792	728
74.00	-32768	-19720	-5620
75.00	-204	18056	20352
76.00	-12808	-24084	-3632
77.00	-21252	7008	17552
78.00	4100	26100	11788
79.00	-32768	-17036	-8956
80.00	288	13904	18452
81.00	-7040	-13924	-8108
82.00	-29756	-13232	8544
83.00	2108	22508	8628
84.00	-32768	-4456	-12452
85.00	-6304	19760	18444
86.00	-19532	-18476	-17808
87.00	-32768	-19616	-13376
88.00	-5232	16720	-7848
89.00	-32768	15888	10860
90.00	6064	16056	23820
91.00	-23220	-32768	-2804
92.00	2524	32767	31208
93.00	-1944	-21208	8588
94.00	-32768	-1644	16820
95.00	14700	19904	18152
96.00	-23308	-16520	-10576
97.00	956	18820	7552
98.00	-20792	-14352	-13280
99.00	-30160	-21548	2988
100.00	3084	24236	7092
101.00	-24996	-25908	-11032
102.00	-26100	1880	21280
103.00	-6348	-18228	-16000
104.00	-32768	-13060	-6564
105.00	5668	32767	31588
106.00	-32768	-24108	-1760
107.00	-32768	-6576	4584
108.00	14360	17076	13868
109.00	-32768	24340	2824
110.00	-12268	10712	7096
111.00	-32768	-9104	-12416
112.00	-30340	20228	20668
113.00	-23724	-18672	-3404
114.00	-32768	-7920	-12568
115.00	-3152	13036	9800
116.00	-32768	-14860	-8968
117.00	-19396	31816	30160
118.00	-3636	-12932	-2852
119.00	-32768	-16084	8500
120.00	-25276	-23884	-5244
121.00	8136	15400	20068
122.00	-27336	32767	15428
123.00	-30044	-19040	4768
124.00	-32768	-21148	9084
125.00	17316	32767	10060
126.00	-19696	-18160	-10616
127.00	4856	17424	27868
128.00	480	19520	7844
129.00	-32768	-23596	11132
130.00	10400	20364	23640
131.00	-32768	-20608	-12120
132.00	-11312	21940	9000
133.00	-17080	-9692	4348
134.00	-32768	-32768	-7184
135.00	-15848	11376	18220
136.00	-32768	-7996	-16628
137.00	-20472	13052	-5504
138.00	20252	2284	5792
139.00	-32768	-26552	-1960
140.00	-1568	24920	8724
141.00	-32768	17644	10640
142.00	-29464	12316	24092
143.00	-8076	22696	8160
144.00	-32768	-32768	-708
145.00	19036	24492	18180
146.00	24024	-32768	18960
147.00	-10056	30732	17980
148.00	-24204	27588	17296
149.00	-32768	-25716	8232
150.00	8972	32767	8052
151.00	-16692	-9124	-364
152.00	-30168	7056	12372
153.00	-15052	15712	1224
154.00	-4184	18004	14428
155.00	-20720	32767	27812
156.00	7368	-32768	3172
157.00	-20372	-21780	-2172
158.00	3216	26140	4352
159.00	-32768	-32768	-18900
160.00	-32768	-15520	180
161.00	-16372	-24644	-12980
162.00	-32768	2740	-2492
163.00	-7784	22092	7108
164.00	-32768	-10340	-10112
165.00	-11876	28752	18612
166.00	-21976	-32768	-13220
167.00	-32548	32767	12732
168.00	-3612	-14408	6692
169.00	-8840	26268	13720
170.00	-32264	5256	14076
171.00	-2788	26344	15640
172.00	-18996	-31752	10344
173.00	32592	32767	10948
174.00	-24360	-22144	-12612
175.00	-14416	15576	1840
176.00	-508	17564	-7312
177.00	-32768	-15540	160
178.00	-32768	32767	11712
179.00	-8724	32767	2336
180.00	-32768	29768	19068
181.00	13564	8864	19016
182.00	-32768	-32768	-9424
183.00	3228	21060	20688
184.00	-7864	7612	24212
185.00	0	0	0
186.00	9980	12092	-12416
187.00	-18728	-25472	4264
188.00	-16256	32767	-560
189.00	11588	16392	13888
190.00	32767	-32768	22512
191.00	-26044	26152	18240
192.00	-4932	18088	26456
193.00	2164	-32768	16868
194.00	5192	20996	24224
195.00	-356	32767	15432
196.00	-32768	-14752	6736
197.00	-18308	-18824	-6728
198.00	-32768	-18596	1448
199.00	6668	23704	11912
200.00	-600	-13692	-13780
201.00	-10644	11320	15536
202.00	-19192	32767	18020
203.00	-32768	-2224	-14612
204.00	-17644	14612	31856
205.00	32767	8032	28528
206.00	-1136	1452	11824
207.00	32767	21292	6268
208.00	-11128	-26944	-6540
209.00	-20752	21668	15664
210.00	-32768	-7008	-24416
211.00	-32768	10764	-588
212.00	-32768	-18236	19568
213.00	-14472	32767	18496
214.00	-19348	-32768	-8208
215.00	-29076	32767	12740
216.00	-7120	-13724	-11264
217.00	-32768	-32768	-6032
218.00	-4136	32767	18120
219.00	-11892	-32768	-1024
220.00	1036	21940	7228
221.00	32767	16580	5208
222.00	-32768	-24804	6376
223.00	-17936	14320	30832
224.00	7744	-32640	2520
225.00	-4024	25020	19372
226.00	-5448	-11176	11804
227.00	-32768	13728	9672
228.00	8056	29516	17608
229.00	-32768	-32768	-10900
230.00	-28772	18748	31868
231.00	-7008	-25164	22436
232.00	-32768	32036	5776
233.00	-32768	-26044	168
234.00	-32768	-26144	-3368
235.00	-30096	32767	5504
236.00	30088	5884	32767
237.00	-23204	-21088	15964
238.00	27120	31360	30752
239.00	18908	-640	-14216
240.00	-32768	-8936	8756
241.00	-9264	21856	6200
242.00	-32768	-8560	-5420
243.00	-5208	32244	12584
244.00	14680	-32768	7360
245.00	-18420	4932	11504
246.00	-29048	11284	7336
247.00	-27892	-15892	828
248.00	-372	20732	32480
249.00	-24940	-32768	1092
250.00	-25084	4840	12644
251.00	16032	25472	30824
252.00	-7828	-29940	-10720
253.00	17756	16944	13984
254.00	-5040	22412	7692
255.00	-32768	-24560	-6792
256.00	1684	22520	30160
257.00	-9268	-32768	1760
258.00	-32768	-9476	6420
259.00	32767	6484	26188
260.00	-20876	-13048	-9440
261.00	-21872	32767	9668
262.00	-11496	-23772	1072
263.00	-32768	-18492	-18328
264.00	32767	-30204	10400
265.00	-32768	-32768	-10828
266.00	4672	28664	18384
267.00	-12164	-32768	4636
268.00	-18664	30248	10004
269.00	32767	16476	3332
270.00	-32768	-32768	152
271.00	-24584	18016	8688
272.00	-32192	-24080	-32640
273.00	-32768	-1744	-13380
274.00	-32768	32767	-1008
275.00	32767	-32768	4388
276.00	-32768	3236	12112
277.00	-9564	-2688	-21700
278.00	-3196	-24624	-3964
279.00	-12280	-18156	23612
280.00	-15420	-32768	4120
281.00	-28144	-4856	18668
282.00	6660	28840	18472
283.00	-32768	-32768	-25992
284.00	-15168	11288	24120
285.00	-23996	-31156	-1348
286.00	-18056	18040	27728
287.00	1952	17292	-13880
288.00	-32768	-13044	-11504
289.00	-12768	20392	18820
290.00	-32768	-20328	4324
291.00	-20180	15612	-1584
292.00	25224	2188	1680
293.00	-15268	-32768	-80
294.00	-32768	32767	31200
295.00	-15944	24036	12064
296.00	-32768	-9472	17076
297.00	-16600	26276	24484
298.00	-32464	-26148	-184
299.00	-32768	12964	15908
300.00	-15080	23592	27260
301.00	-10456	-32768	-440
302.00	-11416	32767	18452
303.00	-32768	-32768	7736
304.00	-21896	-440	32767
305.00	3748	-10452	4704
306.00	-32768	-32100	1456
307.00	-9300	32767	14572
308.00	-27820	-32768	-17196
309.00	-32768	30084	13560
310.00	32767	1076	24136
311.00	-32768	-19908	-12312
312.00	-15116	31548	16444
313.00	-13276	-13492	4772
314.00	-28004	-11440	13956
315.00	23864	-1032	11236
316.00	-32768	-196	-12612
317.00	-32768	-1096	-11680
318.00	-13320	20912	1036
319.00	-32768	-26092	-19948
320.00	-15436	17960	17632
321.00	-28736	-13736	-10484
322.00	-32768	12748	10716
323.00	32767	-31516	29092
324.00	-32768	-25208	-8520
325.00	-4388	7088	14272
326.00	-22868	-28308	-9172
327.00	-21012	4196	12360
328.00	-32768	-32768	10056
329.00	-32768	-27924	-12116
330.00	-12836	32767	-1
0.00	-32768	-30180	-6812
1.00	-32768	-23340	-7496
2.00	-18016	15716	16436
3.00	24448	7528	-80
4.00	-32768	-25436	-3556
5.00	-5732	19924	19676
6.00	-26388	-19032	-6024
7.00	-32768	-5568	9228
8.00	20112	21868	6652
9.00	-32768	-27740	-6520
10.00	4936	22168	17748
11.00	-16768	-18592	-6420
12.00	-32768	3372	11744
13.00	15228	18896	11376
14.00	-32768	-26532	-5180
15.00	5356	24320	19916
16.00	-22856	-25648	-9632
17.00	-32768	-3972	9600
18.00	9520	21992	9820
19.00	-32768	-23280	-4396
20.00	2500	21312	19348
21.00	-32768	-24188	-5720
22.00	-2204	20288	19232
23.00	-5640	-18692	-4472
24.00	-32768	-13500	6176
25.00	11120	19924	10800
26.00	-31020	-21284	-7996
27.00	-15988	13948	16692
28.00	26460	13976	740
29.00	-32768	-27632	-1820
30.00	-1416	22704	18868
31.00	-32768	-17832	-10196
32.00	-21844	10212	15124
33.00	27104	4040	804
34.00	-32768	-29104	-3704
35.00	732	25200	17296
36.00	-32768	-21968	-7172
37.00	-22152	15136	15564
38.00	25708	12068	816
39.00	-32768	-24140	-4268
40.00	5572	27172	16392
41.00	-32768	-24456	-5804
42.00	6720	25096	16772
43.00	-29288	-29068	-7548
44.00	-30952	10764	15028
45.00	20088	18504	5992
0.00	-14244	-14836	-3916
1.00	-32768	-23132	-5528
2.00	8248	25920	18032
3.00	-30468	-29932	-7040
4.00	-28916	11076	14544
5.00	21596	19440	2968
6.00	-32768	-26332	-1284
7.00	8876	25256	18612
8.00	-21368	-22928	-8960
9.00	-30004	6868	14052
10.00	15220	22656	5444
11.00	-32768	-24920	-3412
12.00	8640	21460	19008
13.00	-27148	-22224	-8284
14.00	-31104	92	11440
15.00	21328	14328	2476
16.00	-32768	-32768	-8608
17.00	-19760	16564	14416
18.00	11260	-7444	-2356
19.00	-32768	-28220	608
20.00	-1784	26852	15376
21.00	-7136	-6244	-3440
22.00	-26548	-1864	13544
23.00	14972	21664	12880
24.00	-32768	-27736	-5108
25.00	-4804	23616	19464
26.00	-20588	-15072	-7824
27.00	-32488	-6468	6360
28.00	30444	19728	7448
29.00	-32768	-31308	-9992
30.00	-484	23024	19320
31.00	-15936	-15280	-6772
32.00	-32768	10864	10376
33.00	23032	22000	7532
34.00	-32768	-3256	-4360
35.00	-3876	16796	17616
36.00	-25944	-22068	-10592
37.00	16180	9664	27832
38.00	7000	-14400	-1256
39.00	-32768	-27328	-596
40.00	23744	24672	11288
41.00	-32768	-4456	-15456
42.00	-32768	21108	9800
43.00	11120	22824	492
44.00	-32768	-32768	536
45.00	-1348	24580	22056
46.00	-31504	-23700	-28152
47.00	-24856	17584	-128
48.00	-12592	8584	-12560
49.00	-32768	-23752	-9224
50.00	-14032	32767	19072
51.00	-32768	-11328	1328
52.00	-17532	4912	12060
53.00	30568	22196	15064
54.00	-32768	-14340	-4460
55.00	-20800	32767	29624
56.00	-32768	-10132	-3612
57.00	-8096	32767	20612
58.00	-12136	-26804	4256
59.00	-30328	-16492	9572
60.00	17756	28056	4636
61.00	-32768	-15020	-14800
62.00	-5304	24712	21532
63.00	3092	21624	-10484
64.00	-32768	-2600	-9656
65.00	-9152	25308	22480
66.00	-12028	-24420	-3600
67.00	-28804	21088	14376
68.00	11820	9560	5040
69.00	-32768	-5444	-6144
70.00	-3856	28084	15388
71.00	-28980	-3032	-5320
72.00	-32768	-10084	10620
73.00	23388	23668	21956
74.00	-32768	-15728	-4660
75.00	11800	12876	7580
76.00	-32768	-12416	-12972
77.00	-9660	14048	10228
78.00	13004	-24528	12692
79.00	-32768	16436	16700
80.00	8048	31744	26516
81.00	-15640	-28872	10872
82.00	-21568	6468	21880
83.00	3408	-9140	-1092
84.00	-32768	-32768	-76
85.00	-7928	32767	7160
86.00	-32768	-7604	-5292
87.00	-31444	3880	7004
88.00	32767	-2976	30808
89.00	-32768	-32768	-7432
90.00	9180	32348	19828
91.00	-19036	1144	-12580
92.00	-32768	-1068	1144
93.00	29032	15968	12308
94.00	-32768	10072	-5688
95.00	1452	19432	26104
96.00	-15308	-26104	-452
97.00	5364	21692	16588
98.00	18464	10600	-192
99.00	-32768	-12956	-900
100.00	-19644	32767	1708
101.00	-22260	-32768	-14272
102.00	-30612	12880	24540
103.00	32767	-10016	26776
104.00	-32768	-25748	-5796
105.00	-9832	28936	32767
106.00	16224	3384	17036
107.00	-31636	-30636	1536
108.00	-17296	30088	23100
109.00	-32768	-19952	-2540
110.00	32224	-2988	32767
111.00	22356	14164	636
112.00	-32768	-16588	-15560
113.00	-17208	32767	4788
114.00	-32768	-25136	-23960
115.00	736	5696	10652
116.00	2716	-16004	1916
117.00	-32768	-14664	8868
118.00	536	32767	13988
119.00	-32768	-20896	-19708
120.00	-5736	32767	-332
121.00	-29844	-16076	3204
122.00	-32768	9024	496
123.00	3508	-2184	14164
124.00	-29300	-22368	-8980
125.00	-32768	-12788	8732
126.00	8600	9768	22132
127.00	-32768	15776	3796
128.00	7020	28212	26660
129.00	-23372	-32768	-15428
130.00	-32768	-16528	-3212
131.00	-6028	14112	23260
132.00	-32768	25572	-14240
133.00	-20364	32767	32767
134.00	10420	-30708	22392
135.00	1596	32767	18848
136.00	1412	13756	-6872
137.00	-32768	-25952	-5804
138.00	4852	21324	14784
139.00	-28092	32767	18744
140.00	-29400	4792	13724
141.00	32767	19176	-7428
142.00	-4492	-32624	-2624
143.00	-25708	12080	25080
144.00	-32768	-32768	8516
145.00	-9508	-1752	3176
146.00	12640	25964	5292
147.00	-21348	-23012	-22952
148.00	-32768	-11356	6256
149.00	32767	5760	32767
150.00	-32768	-29444	6172
151.00	-4660	20500	29516
152.00	1580	260	4268
153.00	-27468	28952	14888
154.00	4416	10600	236
155.00	-32768	-26588	-13420
156.00	10500	32767	7060
157.00	-19040	-31540	-13068
158.00	-23928	7300	5164
159.00	-15540	8940	8636
160.00	-32768	2508	12452
161.00	18680	1900	31052
162.00	2872	-12224	-6136
163.00	-28860	6792	8220
164.00	1856	26664	7308
165.00	-25140	-32768	-12648
166.00	6308	28836	26836
167.00	25716	12956	-356
168.00	-32768	-32768	2968
169.00	-16576	32660	28616
170.00	-32768	-21268	5420
171.00	-32768	12792	12656
172.00	10800	32767	3148
173.00	-32768	-19652	320
174.00	17816	25224	19572
175.00	-32768	-32768	-13672
176.00	-15956	-9860	-596
177.00	14384	22312	-2504
178.00	-32768	17780	-8668
179.00	1408	28760	-4144
180.00	-25184	-32768	-27804
181.00	17884	8220	16732
182.00	-24460	10272	-1712
183.00	-32768	-32768	-8980
184.00	-3868	14812	29268
185.00	32767	-32768	32767
186.00	-32768	11940	13292
187.00	1092	29908	7812
188.00	1600	-32768	17212
189.00	-32768	-15596	20668
190.00	32767	-1680	12660
191.00	-32768	-14400	-23492
192.00	-20480	18396	21512
193.00	-32768	-32768	-4636
194.00	-32768	25656	22800
195.00	32767	-13960	20796
196.00	-32768	-7548	4148
197.00	32767	-15660	32767
198.00	-29016	-32768	-10892
199.00	-27432	396	-7496
200.00	6800	14416	3184
201.00	-32768	-21328	4000
202.00	-13700	11732	13500
203.00	-32768	-30708	1560
204.00	-16880	3948	-868
205.00	-32768	-6416	12088
206.00	-32768	-32768	-22704
207.00	-32768	32767	6192
208.00	32767	356	-2736
209.00	-32768	-10912	-13792
210.00	-12408	21464	26084
211.00	-30916	-32768	1636
212.00	-7288	32767	20040
213.00	-17696	-3372	-11188
214.00	-32768	-16304	4828
215.00	-21108	24540	32767
216.00	-27748	-21912	1652
217.00	26644	20368	17160
218.00	-5696	32767	8328
219.00	-32768	-15860	1896
220.00	-1160	32767	-15440
221.00	-32768	-32768	-8432
222.00	-32768	4432	9488
223.00	32767	-17456	26596
224.00	-32768	-29304	2576
225.00	9236	21220	12832
226.00	-32768	-32768	728
227.00	-29904	-32768	-10056
228.00	31052	10108	28972
229.00	-32768	-16980	-1116
230.00	-32768	-11500	13440
231.00	5404	-11436	-640
232.00	-32768	-1212	-1032
233.00	32767	19608	27936
234.00	-10864	1200	-8660
235.00	-17820	32767	14280
236.00	22428	20872	-13600
237.00	-32768	-6700	-19844
238.00	-2416	32767	-13000
239.00	-32768	-22976	-5832
240.00	-32768	13332	-1456
241.00	-36	26288	5760
242.00	-32768	-32768	-68
243.00	26588	32767	15044
244.00	-32768	-924	-8300
245.00	-25648	2412	10332
246.00	6960	11512	-112
247.00	-32768	-31220	-15712
248.00	-11920	32767	32767
249.00	7284	-23588	4260
250.00	-19772	-12820	-4580
251.00	5180	13320	236
252.00	-32768	19672	11380
253.00	-28364	-728	15080
254.00	-12068	32767	27524
255.00	-32768	27856	5036
256.00	11684	32767	14520
257.00	-32768	-236	-26572
258.00	-25356	14560	4488
259.00	1552	-3004	-8272
260.00	-32768	1452	-2252
261.00	11476	22092	31260
262.00	-2500	-13620	2572
263.00	-31404	-18092	-6968
264.00	32767	8020	17292
265.00	7828	32767	11052
266.00	-32768	-23716	3948
267.00	-2576	-22172	-2784
268.00	-6328	20364	-6796
269.00	21664	6844	26964
270.00	12936	-5556	-4076
271.00	-32768	32767	16140
272.00	8796	2968	812
273.00	-32768	-32768	244
274.00	-3904	17396	9568
275.00	-24796	-10732	-29012
276.00	-32768	13040	-9904
277.00	-25244	11792	20908
278.00	-32768	-23332	-5360
279.00	-16884	14824	23472
280.00	-32768	-5952	-17240
281.00	-32768	-796	7896
282.00	-18476	32767	32767
283.00	-16356	-32036	-14548
284.00	-24700	26208	23412
285.00	8728	-4032	4484
286.00	-32768	7480	-3012
287.00	14440	16176	2692
288.00	-3648	-32768	-17096
289.00	-13020	24996	-308
290.00	7164	-32768	27308
291.00	-32768	-14176	-10548
292.00	32767	13216	29420
293.00	-19716	-32768	10908
294.00	-10924	24228	15496
295.00	1628	14712	10820
296.00	8788	32767	9608
297.00	2520	32767	14672
298.00	-31536	-15272	-2548
299.00	-32768	18360	17688
300.00	-30624	-12632	-7000
301.00	-32768	-11764	-8932
302.00	-18772	7432	-10124
303.00	8644	-18772	104
304.00	-14856	-32768	1152
305.00	3676	32767	14824
306.00	-32768	840	-10724
307.00	-32768	5360	6716
308.00	-6420	21172	5368
309.00	-32768	-21428	12344
310.00	9312	24676	22896
311.00	-24668	-23288	-17144
312.00	-32768	-10160	-5728
313.00	16280	16384	20344
314.00	-13716	11508	29180
315.00	32767	8568	-3176
316.00	-32768	-25004	-8468
317.00	-11276	27344	19024
318.00	-26196	-24040	-8252
319.00	-30428	2172	17864
320.00	20396	20988	15424
321.00	-32768	-22168	-10136
322.00	-5868	32767	20388
323.00	-5612	-11740	-4128
324.00	-32768	-17168	-1116
325.00	13960	24552	10628
326.00	-30384	-25100	-11304
327.00	-10828	18048	14180
328.00	-27144	-28436	-3868
329.00	-19104	13168	17076
330.00	25748	16920	6812
331.00	-32768	-27120	-648
332.00	-6604	22716	22004
333.00	13756	-9528	592
334.00	-32768	-25032	-996
335.00	3992	23612	16060
336.00	-32768	-22580	-8908
337.00	-16264	15952	15768
338.00	22252	6328	-872
339.00	-32768	-19624	2060
340.00	4068	25976	16396
341.00	-32768	-24824	-10292
342.00	-26404	15884	17544
343.00	7604	1908	-3232
344.00	-32768	-26376	-1040
345.00	6628	23800	18348
346.00	-32768	-23632	-9040
347.00	-30448	10900	13852
348.00	12284	19456	13556
349.00	-32768	-20164	-8868
350.00	-152	22904	18552
351.00	888	-12660	-1176
352.00	-32768	-23160	1624
353.00	6028	22524	18608
354.00	-12308	-19732	-7140
355.00	-32768	5896	13452
356.00	26164	23024	7540
357.00	-32768	-25912	1860
358.00	776	23152	22368
359.00	5144	-1172	-4420
360.00	-23444	-4112	5756
361.00	17888	17720	7852
362.00	-32768	-28520	-13872
363.00	-24508	32767	22648
364.00	-10748	-16880	5684
365.00	-22676	-12204	14936
366.00	26884	16092	2204
367.00	-32768	-23264	-312
368.00	3816	23392	16612
369.00	-32768	-20040	-6128
370.00	-16624	15548	20936
371.00	10808	10052	7372
372.00	-32768	-32768	-456
373.00	14664	27020	14352
374.00	-10908	-22524	-9340
375.00	-32768	-20276	8388
376.00	-4448	13648	14380
377.00	-32768	-23860	-3084
378.00	3220	12104	20144
379.00	26636	10808	-3728
380.00	-32768	-32768	3540
381.00	-4572	20892	15628
382.00	-32768	-32768	-6224
383.00	-32768	-10408	9916
384.00	-21592	-28860	-5416
385.00	-32768	-24624	-3424
386.00	13932	17400	13528
387.00	-32768	-32768	-540
388.00	9296	28256	17712
389.00	-18084	-30920	-12816
390.00	-32768	5812	6632
391.00	21616	21004	6516
392.00	-32768	-23648	-5988
393.00	1848	24520	18048
394.00	-7904	-12212	-1824
395.00	-32768	-29220	-536
396.00	8624	23392	21908
397.00	-29480	-20156	-7588
398.00	-18628	12448	16068
399.00	27744	15516	2424
400.00	-32768	-29768	364
401.00	1368	26180	19368
402.00	-32768	-22896	-7452
403.00	-22756	9632	13376
404.00	32344	8432	-1572
405.00	-32768	-26744	-4712
406.00	21192	18360	10580
407.00	-32768	-26796	-4892
408.00	-4724	25600	19580
409.00	-18812	-21828	-8244
410.00	-28804	-8776	8956
411.00	32767	19796	7328
412.00	-32768	-22020	-10900
413.00	976	23816	29136
414.00	-5100	-16596	3020
415.00	-26324	14708	15412
416.00	18360	27664	17544
417.00	-32768	-11008	-11896
418.00	-25428	28684	13936
419.00	5592	-3564	2624
420.00	-32768	-32768	8484
421.00	3784	29184	20352
422.00	4740	-32768	284
423.00	-32768	-14616	12484
424.00	32767	23180	-1036
425.00	-23332	-28052	5276
426.00	1364	31024	10732
427.00	-32768	-31060	-15712
428.00	12272	6152	6428
429.00	5920	32767	3516
430.00	-32768	-32568	-2448
431.00	-20116	19548	29732
432.00	14548	-18984	7076
433.00	-32768	24680	1648
434.00	10460	18212	18548
435.00	-16572	-14808	-14044
436.00	-32768	-25548	8084
437.00	-11196	32767	30904
438.00	-32768	-32768	-15056
439.00	-32768	-5116	14564
440.00	12200	23588	27432
441.00	-32768	-30844	3876
442.00	-2636	12540	19376
443.00	23480	4136	-13116
444.00	-11104	-900	21776
445.00	15328	21468	-4564
446.00	-32768	1324	-11196
447.00	-23924	-16884	9356
448.00	32767	-6992	-7056
449.00	-32768	-19328	-11548
450.00	-32768	32767	1040
451.00	1088	19648	2424
452.00	-11748	28668	3536
453.00	10724	28220	21568
454.00	13308	3780	13432
455.00	-32768	-29204	-268
456.00	-13708	17232	22392
457.00	20872	4388	-10304
458.00	-32768	-20424	-14692
459.00	-14500	8944	10340
460.00	30520	-32768	100
461.00	-32768	-18080	-14520
462.00	-14432	31132	16588
463.00	-32768	-1140	-2100
464.00	-29084	-21156	-9968
465.00	-17672	544	8576
466.00	6692	17460	1540
467.00	-32768	-4428	-10324
468.00	-32768	30156	32767
469.00	27216	-10104	25212
470.00	-32768	-32768	-14704
471.00	-21536	27968	31864
472.00	-30616	32767	2460
473.00	-32768	-9568	7048
474.00	21208	356	29476
475.00	21000	3776	12720
476.00	-28512	-9288	-4908
477.00	-25772	32767	14720
478.00	4352	32767	10836
479.00	-14908	-14852	-8908
480.00	-32768	-1388	-1372
481.00	-5320	32767	-1980
482.00	-29976	-16564	-24184
483.00	-32768	14320	23052
484.00	9028	13492	2204
485.00	-32768	-32768	-10976
486.00	-20664	28732	21272
487.00	32767	10056	6796
488.00	-22016	-27716	-5432
489.00	-17292	32767	14372
490.00	31700	11284	-3600
491.00	-32768	-12400	-13168
492.00	-9792	16816	20272
493.00	15404	772	2160
494.00	-32768	-23864	-2932
495.00	-2788	29692	18928
496.00	-28464	-20656	-9352
497.00	-32768	-12892	3712
498.00	17012	20064	14236
499.00	-20932	-21504	-5284
500.00	-32768	-12720	4860
0.00	9224	29832	19520
1.00	-15400	18064	16004
2.00	2196	-4088	-3220
3.00	-32768	-9536	5964
4.00	10676	25544	11588
5.00	-32768	-29892	-6568
6.00	4728	22964	19008
7.00	-26348	-22904	-6896
8.00	-32768	-5456	7892
9.00	32200	17848	4204
10.00	-32768	-29028	-3152
11.00	-304	27212	18772
12.00	-32768	-18740	-8580
13.00	-14880	15348	16876
14.00	14428	-3040	-280
15.00	-32768	-13220	5444
16.00	30720	18964	7700
17.00	-32768	-31196	-8512
18.00	-29796	140	11848
19.00	32124	23296	8448
20.00	-32768	-25012	-6320
21.00	32767	20192	6856
22.00	-32768	-27764	-3760
23.00	2812	26636	18956
24.00	-32768	-30412	-7436
25.00	-26600	14176	17096
26.00	8384	1628	-2840
27.00	-32768	-16548	6148
28.00	10932	28748	16432
0.00	-15840	16536	17496
1.00	28568	25092	8680
2.00	-32768	-23884	-5100
3.00	9040	25896	18476
4.00	-27392	-25872	-6780
5.00	-32268	7988	13528
6.00	22580	7556	1852
7.00	-32768	-20456	-736
8.00	6908	26848	18540
9.00	-32768	-24416	-6660
10.00	-6712	20288	15772
11.00	32767	16472	8816
12.00	-32768	-25288	-8336
13.00	2844	24408	6016
14.00	-32768	-31380	-4784
15.00	-6912	29136	24424
16.00	-32768	-19124	-8936
17.00	-17332	7248	16656
18.00	8900	-2788	448
19.00	-5788	25880	22172
20.00	6952	27124	15560
21.00	-32768	-32768	-8708
22.00	-18204	16584	19268
23.00	-9660	-12840	4644
24.00	-32088	-11472	11224
25.00	29348	7640	4316
26.00	-32768	-25012	-6128
